2024-02-12 14:12:56.310 [dw-37 - POST /route] INFO  c.g.resources.RouteResource - 127.0.0.1 en_US insomnia/2023.1.0 2, took: 11.7 ms, algo: , profile: car, custom_model: null, alternatives: 1, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 1935, debugInfo: idLookup:4.2701E-4s; , algoInit:118 μs, dijkstrabi|ch-routing:2 ms, path extraction: 505 μs, visited nodes sum: 338
2024-02-12 14:15:11.393 [dw-40 - POST /route] INFO  c.g.resources.RouteResource - 127.0.0.1 en_US insomnia/2023.1.0 2, took: 70.3 ms, algo: alternative_route, profile: car, custom_model: null, alternatives: 3, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 1935, debugInfo: idLookup:3.84476E-4s; ; ; 
2024-02-12 14:29:13.095 [dw-42 - POST /route] INFO  c.g.resources.RouteResource - 127.0.0.1 en_US insomnia/2023.1.0 2, took: 70.2 ms, algo: alternative_route, profile: car, custom_model: null, alternatives: 3, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 1935, debugInfo: idLookup:3.75677E-4s; ; ; 
2024-02-12 14:30:04.272 [dw-41 - POST /route] INFO  c.g.resources.RouteResource - 127.0.0.1 en_US insomnia/2023.1.0 2, took: 88.5 ms, algo: alternative_route, profile: car, custom_model: null, alternatives: 3, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 1934, debugInfo: idLookup:6.27733E-4s; ; ; 
2024-02-12 14:34:15.056 [dw-52 - POST /route] INFO  c.g.resources.RouteResource - 127.0.0.1 en_US insomnia/2023.1.0 2, took: 703.6 ms, algo: alternative_route, profile: car, custom_model: null, alternatives: 2, distance0: 221304.5046975678, weight0: 27201.984020489464, time0: 195min, points0: 1934, debugInfo: idLookup:6.65168E-4s; ; 
2024-02-12 14:34:36.664 [dw-38 - POST /route] INFO  c.g.resources.RouteResource - 127.0.0.1 en_US insomnia/2023.1.0 2, took: 113.3 ms, algo: alternative_route, profile: car, custom_model: null, alternatives: 3, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 1934, debugInfo: idLookup:4.66889E-4s; ; ; 
2024-02-12 14:36:03.083 [dw-42 - POST /route?key=] INFO  c.g.resources.RouteResource - [0:0:0:0:0:0:0:1] en_US Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 2, took: 28.6 ms, algo: , profile: car, custom_model: null, alternatives: 1, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 2021, debugInfo: idLookup:0.001931321s; , algoInit:68 μs, dijkstrabi|ch-routing:4 ms, path extraction: 889 μs, visited nodes sum: 338
2024-02-12 14:36:03.116 [dw-38 - POST /route?key=] INFO  c.g.resources.RouteResource - [0:0:0:0:0:0:0:1] en_US Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 2, took: 70.9 ms, algo: alternative_route, profile: car, custom_model: null, alternatives: 3, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 2021, debugInfo: idLookup:0.002759917s; ; ; 
2024-02-12 14:40:35.768 [dw-42 - POST /route] INFO  c.g.http.MultiExceptionMapper - bad request: [java.lang.IllegalArgumentException: Cannot find the path details: [surface, toll, track_type, country]]
2024-02-12 14:40:55.081 [dw-37 - POST /route] INFO  c.g.resources.RouteResource - 127.0.0.1 en_US insomnia/2023.1.0 2, took: 93.4 ms, algo: alternative_route, profile: car, custom_model: null, alternatives: 3, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 1934, debugInfo: idLookup:6.23962E-4s; ; ; 
